Ver. 4 7 real time data, Monday, August 28, 2017 1:58:57 AM
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
7681	798	1.910000	4.910000	2.720000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
7792	802	1.860000	4.870000	2.720000	0.960000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
7902	802	1.900000	5.000000	2.780000	0.960000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
8022	804	1.820000	4.860000	2.720000	0.960000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
8122	806	1.820000	4.860000	2.760000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
8242	808	1.860000	4.940000	2.760000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
8352	808	1.910000	4.860000	2.700000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
8463	810	1.910000	4.980000	2.790000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
8573	812	1.880000	4.920000	2.730000	0.950000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
8683	814	1.900000	4.920000	2.730000	0.930000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
8793	814	1.910000	4.870000	2.700000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
8913	812	1.930000	5.020000	2.780000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
9023	812	1.930000	4.900000	2.720000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
9134	812	1.900000	4.900000	2.720000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
9244	813	1.880000	4.910000	2.720000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
9354	813	1.880000	4.870000	2.700000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
9464	812	1.900000	4.950000	2.740000	0.930000	0.310000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
9584	807	1.900000	4.950000	2.740000	0.930000	0.310000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
9694	810	1.860000	4.940000	2.730000	0.940000	0.310000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
