 mAir, RPM, O2Sf, Target
165,847,2751,2778.51
165,840,2649,2675.49
165,840,2649,2675.49
168,840,2776,2803.76
168,833,2776,2803.76
168,833,2688,2714.88
167,836,2688,2714.88
167,836,2771,2798.71
168,837,2771,2798.71
168,837,2771,2798.71
170,839,2741,2768.41
170,839,2741,2768.41
170,837,2829,2857.29
170,837,2829,2857.29
167,837,2741,2768.41
167,841,2741,2768.41
167,841,2854,2882.54
168,840,2854,2882.54
168,840,2854,2882.54
168,838,2790,2817.9
168,838,2790,2817.9
167,838,2673,2699.73
167,838,2673,2699.73
168,838,2653,2679.53
168,842,2653,2679.53
168,842,2737,2764.37
169,841,2737,2764.37
169,841,2737,2764.37
169,840,2727,2754.27
169,840,2727,2754.27
166,843,2800,2828
166,843,2800,2828
166,843,2810,2838.1
166,842,2810,2838.1
166,842,2653,2679.53
166,842,2653,2679.53
166,842,2839,2867.39
167,845,2839,2867.39
167,845,2839,2867.39
171,841,2722,2749.22
171,841,2722,2749.22
169,842,2761,2788.61
169,842,2761,2788.61
167,842,2776,2803.76
167,839,2776,2803.76
167,841,2771,2798.71
167,841,2771,2798.71
167,841,2771,2798.71
165,841,2707,2734.07
165,839,2707,2734.07
166,840,2751,2778.51
166,840,2751,2778.51
167,840,2702,2729.02
167,840,2702,2729.02
167,840,2663,2689.63
165,838,2663,2689.63
165,838,2663,2689.63
164,835,2741,2768.41
164,835,2741,2768.41
167,835,2683,2709.83
167,838,2683,2709.83
169,838,2697,2723.97
169,835,2697,2723.97
169,835,2815,2843.15
166,832,2815,2843.15
166,832,2815,2843.15
167,831,2746,2773.46
167,831,2746,2773.46
168,831,2751,2778.51
168,834,2751,2778.51
169,834,2751,2778.51
169,834,2751,2778.51
168,833,2737,2764.37
168,833,2737,2764.37
168,836,2781,2808.81
167,836,2781,2808.81
167,836,2766,2793.66
165,834,2766,2793.66
165,834,2766,2793.66
167,834,2649,2675.49
167,826,2649,2675.49
169,826,2766,2793.66
169,830,2766,2793.66
166,830,2688,2714.88
166,828,2688,2714.88
166,828,2717,2744.17
168,830,2717,2744.17
168,830,2717,2744.17
169,833,2673,2699.73
169,833,2673,2699.73
168,833,2815,2843.15
168,834,2815,2843.15
168,832,2766,2793.66
168,832,2766,2793.66
168,832,2741,2768.41
168,839,2741,2768.41
168,839,2741,2768.41
166,842,2649,2675.49
166,842,2649,2675.49
